ayear,cat,fs_desc_bin,n,perc
2021,Man,Secure,190,80.50847457627118
2021,Man,Insecure,46,19.491525423728813
2021,Nonbinary,Secure,47,68.11594202898551
2021,Nonbinary,Insecure,22,31.88405797101449
2021,Woman,Secure,381,78.88198757763976
2021,Woman,Insecure,102,21.11801242236025
2122,Man,Secure,198,66.8918918918919
2122,Man,Insecure,98,33.108108108108105
2122,Nonbinary,Secure,74,57.8125
2122,Nonbinary,Insecure,54,42.1875
2122,Woman,Secure,480,67.0391061452514
2122,Woman,Insecure,236,32.960893854748605
2223,Man,Secure,94,57.3170731707317
2223,Man,Insecure,70,42.68292682926829
2223,Nonbinary,Secure,144,56.470588235294116
2223,Nonbinary,Insecure,111,43.529411764705884
2223,Woman,Secure,234,65.73033707865169
2223,Woman,Insecure,122,34.26966292134831
2324,Man,Secure,200,64.72491909385113
2324,Man,Insecure,109,35.275080906148865
2324,Nonbinary,Secure,195,57.18475073313783
2324,Nonbinary,Insecure,146,42.81524926686217
2324,Woman,Secure,329,60.70110701107011
2324,Woman,Insecure,213,39.29889298892989
2021,Straight or Heterosexual,Secure,389,80.70539419087137
2021,Straight or Heterosexual,Insecure,93,19.294605809128633
2021,LGBQ+,Secure,223,74.83221476510067
2021,LGBQ+,Insecure,75,25.16778523489933
2122,Straight or Heterosexual,Secure,455,70.10785824345146
2122,Straight or Heterosexual,Insecure,194,29.892141756548536
2122,LGBQ+,Secure,300,60.60606060606061
2122,LGBQ+,Insecure,195,39.39393939393939
2223,Straight or Heterosexual,Secure,244,66.12466124661248
2223,Straight or Heterosexual,Insecure,125,33.87533875338754
2223,LGBQ+,Secure,226,57.21518987341773
2223,LGBQ+,Insecure,169,42.78481012658228
2324,Straight or Heterosexual,Secure,453,64.71428571428571
2324,Straight or Heterosexual,Insecure,247,35.285714285714285
2324,LGBQ+,Secure,263,54.67775467775468
2324,LGBQ+,Insecure,218,45.32224532224532
2021,Total,Secure,618,78.22784810126582
2021,Total,Insecure,172,21.772151898734176
2122,Total,Secure,775,65.95744680851064
2122,Total,Insecure,400,34.04255319148936
2223,Total,Secure,479,60.25157232704402
2223,Total,Insecure,316,39.74842767295598
2324,Total,Secure,746,60.50283860502839
2324,Total,Insecure,487,39.49716139497161
